City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,zhigalovo,54.8097,105.1578,292.25,69,19,0.21,RU,1688831638
324,zheshart,62.0731,49.5733,286.04,99,100,3.13,RU,1688831638
325,jijiga,9.35,42.8,291.16,75,59,5.73,ET,1688831638
326,keflavik,64.0049,-22.5624,290.39,48,0,4.63,IS,1688831639
327,seminole,28.7086,-81.2081,305.42,81,0,4.63,US,1688831639
328,constantia,44.1833,28.65,293.53,79,99,14.28,RO,1688831639
329,felege neway,6.3,36.8833,291.78,83,45,1.35,ET,1688831639
330,labytnangi,66.6572,66.4183,287.07,86,43,2.23,RU,1688831639
331,wynyard,-41.0,145.7167,281.47,88,93,5.18,AU,1688831639
332,doume,4.2333,13.45,298.19,75,59,1.71,CM,1688831639
333,colachel,8.1667,77.25,299.57,84,100,5.49,IN,1688831639
334,kristiansund,63.1115,7.732,295.18,68,0,4.12,NO,1688831640
335,minzhu,43.7286,127.3447,291.07,93,100,1.07,CN,1688831640
336,malabar,-33.9667,151.25,287.14,55,40,5.66,AU,1688831640
337,baruun-urt,46.6806,113.2792,289.88,76,88,2.31,MN,1688831640
338,nova sintra,14.8667,-24.7167,296.07,83,62,3.95,CV,1688831640
339,boa vista,2.8197,-60.6733,302.14,65,75,3.6,BR,1688831640
340,korla,41.7597,86.1469,302.49,28,99,7.75,CN,1688831640
341,mabaruma,8.2,-59.7833,300.15,83,75,2.06,GY,1688831641
342,ponta delgada,37.7333,-25.6667,295.55,56,20,3.6,PT,1688831641
343,chusovoy,58.3013,57.8131,295.38,76,88,1.47,RU,1688831641
344,sirte,31.2089,16.5887,302.22,50,0,4.81,LY,1688831641
345,tarfaya,27.9358,-12.9218,296.04,76,5,8.53,MA,1688831641
346,petropavlovsk-kamchatsky,53.0452,158.6483,285.48,100,100,0.0,RU,1688831641
347,gaigeturi,33.4644,126.3183,300.18,89,75,1.03,KR,1688831641
348,dompu,-8.5356,118.4622,295.89,96,33,1.3,ID,1688831642
349,gaspe,48.8334,-64.4819,296.27,83,75,1.54,CA,1688831501
350,wuchuan,21.4571,110.7659,300.98,84,9,5.57,CN,1688831642
351,bodo,67.28,14.405,285.34,91,75,2.06,NO,1688831642
352,bonthe,7.5264,-12.505,301.72,67,94,4.39,SL,1688831642
353,zaozersk,69.4005,32.4476,281.8,75,98,4.66,RU,1688831642
354,lihue,21.9789,-159.3672,298.92,74,75,8.23,US,1688831642
355,kirkwood,38.5834,-90.4068,297.33,85,75,1.54,US,1688831551
356,prince rupert,54.3161,-130.3201,287.2,97,100,2.06,CA,1688831411
357,viedma,-40.8135,-62.9967,283.02,66,99,4.62,AR,1688831643
358,gazli,40.1333,63.45,307.62,15,0,3.78,UZ,1688831643
359,yurty,56.0498,97.6348,291.73,78,100,1.23,RU,1688831643
360,twon-brass,4.3151,6.2418,297.17,93,100,5.96,NG,1688831643
361,murray,40.6669,-111.888,301.48,39,0,3.6,US,1688831644
362,sarangani,5.4033,125.4636,301.5,75,98,4.94,PH,1688831644
